Task,Seed,Entanglement_Entropy,Quantum_Accuracy
SST-2,0,0.319504,0.7460
SST-2,1,0.178143,0.6920
SST-2,2,0.435570,0.5920
SST-2,3,0.138881,0.6920
SST-2,4,0.305918,0.7200
SST-2,5,0.252165,0.6540
SST-2,6,0.079232,0.7400
SST-2,7,0.351498,0.6200
SST-2,8,0.215481,0.6720
SST-2,9,0.074758,0.7240
RTE,0,0.366594,0.4440
RTE,1,0.177861,0.4765
RTE,2,0.543746,0.5271
RTE,3,0.586004,0.4693
RTE,4,0.340173,0.4801
RTE,5,0.352319,0.5199
RTE,6,0.142626,0.4513
RTE,7,0.262708,0.5199
RTE,8,0.031730,0.5343
RTE,9,0.249231,0.5451
BoolQ,0,0.297976,0.6040
BoolQ,1,0.056887,0.6300
BoolQ,2,0.093550,0.6280
BoolQ,3,0.212479,0.4940
BoolQ,4,0.273304,0.6280
BoolQ,5,0.047166,0.5760
BoolQ,6,0.053367,0.6040
BoolQ,7,0.020435,0.6280
BoolQ,8,0.165944,0.6220
BoolQ,9,0.044353,0.5860
AG News,0,0.103230,0.3480
AG News,1,0.228098,0.3340
AG News,2,0.125582,0.3480
AG News,3,0.288171,0.3840
AG News,4,0.177157,0.3260
AG News,5,0.127364,0.3460
AG News,6,0.422070,0.3120
AG News,7,0.277221,0.3640
AG News,8,0.020493,0.3360
AG News,9,0.142255,0.2840
