Noise_Rate,Seed,Epoch,Quantum_Acc,David_Acc,Goliath_Acc
0.0,4,0,0.5700,0.5340,0.5100
0.0,4,1,0.5040,0.5440,0.4780
0.0,4,2,0.6360,0.5100,0.7080
0.0,4,3,0.6460,0.6480,0.6680
0.0,4,4,0.7200,0.6580,0.6080
0.0,5,0,0.5960,0.7020,0.5760
0.0,5,1,0.4800,0.5880,0.4760
0.0,5,2,0.6640,0.6200,0.6260
0.0,5,3,0.5940,0.6260,0.7600
0.0,5,4,0.6540,0.6460,0.5240
0.0,6,0,0.5880,0.5280,0.5540
0.0,6,1,0.5720,0.5180,0.5560
0.0,6,2,0.5800,0.5880,0.6160
0.0,6,3,0.7040,0.6180,0.6640
0.0,6,4,0.7400,0.6460,0.6840
0.0,7,0,0.4840,0.4720,0.4860
0.0,7,1,0.5640,0.5500,0.5880
0.0,7,2,0.5400,0.5700,0.6560
0.0,7,3,0.6120,0.5980,0.6840
0.0,7,4,0.6200,0.6480,0.5920
0.0,8,0,0.5280,0.5420,0.5380
0.0,8,1,0.4880,0.4680,0.4740
0.0,8,2,0.5820,0.5300,0.6380
0.0,8,3,0.6400,0.5020,0.7620
0.0,8,4,0.6720,0.5020,0.7560
0.0,9,0,0.5380,0.5360,0.5560
0.0,9,1,0.6600,0.5320,0.6560
0.0,9,2,0.4740,0.4840,0.4700
0.0,9,3,0.7180,0.5380,0.7640
0.0,9,4,0.7240,0.5860,0.7380
0.001,0,0,0.4840,0.5920,0.5240
0.001,0,1,0.4700,0.4800,0.5220
0.001,0,2,0.5320,0.4900,0.6380
0.001,0,3,0.4840,0.5980,0.5100
0.001,0,4,0.7560,0.6060,0.6720
0.001,1,0,0.5860,0.6620,0.5020
0.001,1,1,0.5600,0.5760,0.6300
0.001,1,2,0.5900,0.6220,0.6980
0.001,1,3,0.6440,0.6780,0.6580
0.001,1,4,0.6780,0.6440,0.7740
0.001,2,0,0.5380,0.6460,0.5020
0.001,2,1,0.6420,0.4900,0.6280
0.001,2,2,0.6840,0.5320,0.6740
0.001,2,3,0.6680,0.5540,0.6620
0.001,2,4,0.6900,0.4880,0.6520
0.001,3,0,0.5380,0.6560,0.6160
0.001,3,1,0.5880,0.4680,0.6420
0.001,3,2,0.5640,0.4680,0.7100
0.001,3,3,0.6720,0.6920,0.6640
0.001,3,4,0.6640,0.6760,0.7100
0.001,4,0,0.5200,0.5340,0.5100
0.001,4,1,0.4800,0.5440,0.4780
0.001,4,2,0.4780,0.5100,0.7080
0.001,4,3,0.6700,0.6480,0.6680
0.001,4,4,0.6200,0.6580,0.6080
0.001,5,0,0.6320,0.7020,0.5760
0.001,5,1,0.4720,0.5880,0.4760
0.001,5,2,0.6700,0.6200,0.6260
0.001,5,3,0.6200,0.6260,0.7600
0.001,5,4,0.6460,0.6460,0.5240
0.001,6,0,0.5680,0.5280,0.5540
0.001,6,1,0.6500,0.5180,0.5560
0.001,6,2,0.6200,0.5880,0.6160
0.001,6,3,0.7120,0.6180,0.6640
0.001,6,4,0.7160,0.6460,0.6840
0.001,7,0,0.4720,0.4720,0.4860
0.001,7,1,0.5860,0.5500,0.5880
0.001,7,2,0.5880,0.5700,0.6560
0.001,7,3,0.6740,0.5980,0.6840
0.001,7,4,0.6260,0.6480,0.5920
0.001,8,0,0.5560,0.5420,0.5380
0.001,8,1,0.5020,0.4680,0.4740
0.001,8,2,0.5420,0.5300,0.6380
0.001,8,3,0.5900,0.5020,0.7620
0.001,8,4,0.6140,0.5020,0.7560
0.001,9,0,0.5340,0.5360,0.5560
0.001,9,1,0.5660,0.5320,0.6560
0.001,9,2,0.4720,0.4840,0.4700
0.001,9,3,0.6180,0.5380,0.7640
0.001,9,4,0.6900,0.5860,0.7380
0.005,0,0,0.4680,0.5920,0.5240
0.005,0,1,0.4680,0.4800,0.5220
