seed,epoch,quantum_loss,david_loss,goliath_loss,quantum_acc,david_acc,goliath_acc,n_qubits,n_layers,q_params,d_params,c_params
0,0,3.1635,6.1965,4.4030,0.5060,0.5720,0.5560,8,30,7632,7632,527872
0,1,0.8442,3.9143,0.7512,0.4820,0.5740,0.5120,8,30,7632,7632,527872
0,2,0.7407,1.1913,0.7184,0.5560,0.4760,0.6180,8,30,7632,7632,527872
0,3,0.6888,0.7540,0.6602,0.6020,0.5260,0.5720,8,30,7632,7632,527872
0,4,0.6801,0.6661,0.6462,0.5500,0.5820,0.5360,8,30,7632,7632,527872
1,0,4.6538,6.5188,3.9817,0.6180,0.6500,0.4980,8,30,7632,7632,527872
1,1,0.8223,4.3709,0.7157,0.5460,0.6740,0.5320,8,30,7632,7632,527872
1,2,0.7459,1.5715,0.7376,0.6140,0.6080,0.5340,8,30,7632,7632,527872
1,3,0.6835,0.7176,0.6678,0.6800,0.5820,0.5400,8,30,7632,7632,527872
1,4,0.6549,0.6629,0.6291,0.6380,0.4920,0.6220,8,30,7632,7632,527872
2,0,6.2116,6.6592,5.4577,0.6040,0.6780,0.5360,8,30,7632,7632,527872
2,1,1.7502,5.0877,0.7877,0.5440,0.5580,0.5980,8,30,7632,7632,527872
2,2,0.7246,2.1197,0.6726,0.5180,0.5720,0.5820,8,30,7632,7632,527872
2,3,0.6630,0.8384,0.6373,0.6740,0.4860,0.6100,8,30,7632,7632,527872
2,4,0.6295,0.7457,0.6001,0.7060,0.4980,0.6420,8,30,7632,7632,527872
3,0,5.3887,7.0452,4.4380,0.4700,0.6900,0.5660,8,30,7632,7632,527872
3,1,0.9855,5.6141,0.7524,0.5680,0.6240,0.5880,8,30,7632,7632,527872
3,2,0.6938,3.2512,0.6887,0.4840,0.5500,0.6540,8,30,7632,7632,527872
3,3,0.7361,0.9598,0.6735,0.5200,0.6380,0.5660,8,30,7632,7632,527872
3,4,0.6786,0.7164,0.6342,0.5180,0.6020,0.7080,8,30,7632,7632,527872
4,0,6.0382,6.4502,4.4385,0.5400,0.6360,0.4700,8,30,7632,7632,527872
4,1,1.2690,3.4485,0.7645,0.4720,0.5480,0.4700,8,30,7632,7632,527872
4,2,0.7458,0.8501,0.7539,0.5260,0.5300,0.5840,8,30,7632,7632,527872
4,3,0.6759,0.6724,0.6853,0.5820,0.6280,0.5700,8,30,7632,7632,527872
4,4,0.6563,0.6453,0.6705,0.5900,0.6460,0.5540,8,30,7632,7632,527872
5,0,6.2848,7.0603,3.9825,0.6200,0.7100,0.4840,8,30,7632,7632,527872
5,1,1.5912,6.2212,0.7098,0.6500,0.6900,0.4700,8,30,7632,7632,527872
5,2,0.7910,5.2824,0.7272,0.5620,0.6800,0.5420,8,30,7632,7632,527872
5,3,0.6813,3.9181,0.6480,0.6800,0.6320,0.5840,8,30,7632,7632,527872
5,4,0.6396,1.5306,0.6717,0.7200,0.6740,0.6240,8,30,7632,7632,527872
6,0,3.1896,6.4918,4.4337,0.4960,0.6180,0.5300,8,30,7632,7632,527872
6,1,0.7187,3.6722,0.7495,0.4820,0.5620,0.5820,8,30,7632,7632,527872
6,2,0.6893,0.9148,0.6816,0.6580,0.4840,0.6700,8,30,7632,7632,527872
6,3,0.6449,0.7067,0.6470,0.6420,0.5900,0.6660,8,30,7632,7632,527872
6,4,0.6082,0.6644,0.5828,0.6800,0.6160,0.6160,8,30,7632,7632,527872
7,0,4.3854,5.7974,4.6973,0.5080,0.5300,0.5980,8,30,7632,7632,527872
7,1,0.7391,1.7397,0.7710,0.5220,0.5100,0.5580,8,30,7632,7632,527872
7,2,0.7358,0.7590,0.7251,0.5380,0.5440,0.5000,8,30,7632,7632,527872
7,3,0.6876,0.6781,0.7076,0.5480,0.5520,0.5220,8,30,7632,7632,527872
7,4,0.6692,0.6423,0.6664,0.6100,0.5760,0.6360,8,30,7632,7632,527872
8,0,3.0081,6.7738,4.4618,0.5680,0.5920,0.5340,8,30,7632,7632,527872
8,1,0.7956,4.8523,0.7626,0.4900,0.5420,0.5740,8,30,7632,7632,527872
8,2,0.7308,2.9690,0.6626,0.5420,0.5480,0.6440,8,30,7632,7632,527872
8,3,0.6934,1.2068,0.5975,0.4920,0.4760,0.7460,8,30,7632,7632,527872
8,4,0.6825,0.7840,0.5478,0.5920,0.5020,0.7640,8,30,7632,7632,527872
9,0,5.8023,5.9326,2.8876,0.5740,0.5280,0.5620,8,30,7632,7632,527872
9,1,1.1660,1.3353,0.6909,0.4940,0.4600,0.5120,8,30,7632,7632,527872
9,2,0.7360,0.7534,0.7204,0.5960,0.5060,0.4760,8,30,7632,7632,527872
9,3,0.6716,0.6778,0.6785,0.6160,0.5480,0.5320,8,30,7632,7632,527872
9,4,0.6409,0.6622,0.5993,0.7060,0.5760,0.6060,8,30,7632,7632,527872
