Seed,Epoch,Quantum_Acc,David_Acc,Goliath_Acc,Quantum_Loss,David_Loss,Goliath_Loss
0,1,0.4513,0.5090,0.4693,2.1773,4.1211,3.0037
0,2,0.5199,0.5018,0.5271,0.7188,0.9355,0.7600
0,3,0.4549,0.5379,0.4982,0.7267,0.7256,0.7038
0,4,0.4404,0.4693,0.4765,0.7318,0.6996,0.7250
0,5,0.4801,0.4946,0.5307,0.7403,0.7164,0.7284
1,1,0.4657,0.5343,0.4729,2.6352,4.6610,1.4332
1,2,0.4801,0.4729,0.4549,0.7562,1.2589,0.7495
1,3,0.5054,0.5379,0.4874,0.7454,0.7362,0.7176
1,4,0.4729,0.4910,0.4838,0.7580,0.7150,0.7011
1,5,0.4765,0.4585,0.4946,0.7370,0.7305,0.7079
2,1,0.4801,0.4404,0.5162,2.3001,5.0940,4.3557
2,2,0.4729,0.5235,0.5343,0.7269,3.2232,0.9400
2,3,0.4801,0.5379,0.5018,0.7616,1.1433,0.7905
2,4,0.4838,0.5523,0.4513,0.7123,0.7170,0.7732
2,5,0.5271,0.4874,0.4693,0.7303,0.6928,0.7008
3,1,0.4982,0.4765,0.5054,2.1178,3.4480,3.4174
3,2,0.4513,0.4585,0.4440,0.7803,0.7493,0.8671
3,3,0.4585,0.5090,0.5307,0.7600,0.7234,0.7687
3,4,0.4693,0.4838,0.4693,0.7188,0.7339,0.7652
3,5,0.4765,0.4801,0.4440,0.7657,0.7641,0.7418
4,1,0.4657,0.4657,0.4765,2.7347,4.6569,2.8243
4,2,0.5271,0.4910,0.5307,0.7574,2.6925,0.7204
4,3,0.4874,0.4801,0.4838,0.7238,0.8185,0.7338
4,4,0.4946,0.5307,0.4657,0.7491,0.7615,0.7377
4,5,0.4765,0.5090,0.4801,0.7769,0.7443,0.8098
5,1,0.4729,0.4513,0.5451,2.0812,5.2671,2.6837
5,2,0.5090,0.4874,0.4729,0.7060,3.7801,0.7300
5,3,0.4585,0.5343,0.4946,0.7971,1.3572,0.7931
5,4,0.4874,0.4765,0.4982,0.7059,0.7640,0.6982
5,5,0.5235,0.5271,0.5523,0.6950,0.7224,0.6913
6,1,0.4838,0.4874,0.4874,3.5386,4.9336,2.9250
6,2,0.4910,0.5199,0.4693,0.9170,1.7247,0.8616
6,3,0.4801,0.4729,0.4729,0.8147,0.7451,0.7589
6,4,0.4549,0.4765,0.4801,0.7117,0.7321,1.0995
6,5,0.4729,0.4657,0.4729,0.7606,0.7729,0.9285
7,1,0.4729,0.5090,0.4910,2.4807,4.2059,2.5468
7,2,0.5343,0.4657,0.4549,0.7525,0.9221,0.7834
7,3,0.5379,0.5162,0.4549,0.7401,0.7403,0.7102
7,4,0.5307,0.5271,0.5271,0.6895,0.7005,0.7388
7,5,0.5199,0.4585,0.4801,0.7237,0.7340,0.7502
8,1,0.5126,0.4946,0.4838,3.7274,4.9615,2.2694
8,2,0.4982,0.5054,0.5199,1.4452,2.0404,0.7647
8,3,0.5271,0.5307,0.5343,0.8854,0.7513,0.7242
8,4,0.4621,0.4765,0.4657,0.8601,0.7182,0.7116
8,5,0.4657,0.4801,0.4946,0.7799,0.7134,0.6870
9,1,0.4874,0.5018,0.4729,3.2000,4.0548,5.0118
9,2,0.4477,0.5162,0.4801,1.0688,0.9004,1.4821
9,3,0.4621,0.4693,0.5379,0.7504,0.7941,0.8425
9,4,0.4693,0.4693,0.4621,0.7418,0.7351,0.7168
9,5,0.5271,0.4549,0.4693,0.7550,0.7200,0.7199
