Seed,Epoch,Quantum_Acc,David_Acc,Goliath_Acc,Quantum_Loss,David_Loss,Goliath_Loss
0,1,0.4640,0.4740,0.4280,2.1522,1.3315,1.2002
0,2,0.6200,0.5940,0.6260,0.7406,0.8527,0.7482
0,3,0.6300,0.4940,0.6280,0.6797,0.7636,0.6966
0,4,0.4520,0.5000,0.4860,0.6854,0.7276,0.7057
0,5,0.6160,0.5420,0.6280,0.6557,0.7341,0.6781
1,1,0.6080,0.6240,0.5820,2.0064,1.4176,1.1574
1,2,0.5520,0.4080,0.4960,0.8728,0.7728,0.7340
1,3,0.6280,0.5820,0.5720,0.7369,0.7054,0.7083
1,4,0.6260,0.6300,0.6260,0.7051,0.6709,0.6557
1,5,0.6160,0.6240,0.5860,0.7136,0.7146,0.6905
2,1,0.4680,0.5380,0.4420,1.5720,1.8503,1.3980
2,2,0.6300,0.5460,0.6240,0.8693,1.4834,0.7682
2,3,0.4440,0.5660,0.4240,0.7545,1.0757,0.7465
2,4,0.4860,0.5900,0.4520,0.7105,0.8092,0.7147
2,5,0.6040,0.6180,0.6260,0.6958,0.7198,0.7091
3,1,0.6160,0.6180,0.6320,1.1316,1.2032,0.9182
3,2,0.6240,0.6300,0.6240,0.7721,0.7183,0.7066
3,3,0.6020,0.6280,0.5760,0.9376,0.7352,0.7409
3,4,0.6260,0.6300,0.6060,1.8564,0.7546,0.6688
3,5,0.6220,0.6300,0.6380,0.7092,0.7176,0.6697
4,1,0.5480,0.6040,0.4000,1.2147,1.6652,1.0208
4,2,0.6180,0.5920,0.6260,0.7397,1.0329,0.7225
4,3,0.6280,0.6060,0.6280,0.7216,0.8265,0.7184
4,4,0.5840,0.5860,0.6260,0.6966,0.7847,0.7080
4,5,0.6180,0.6160,0.6320,0.6618,0.7493,0.6568
5,1,0.5920,0.5620,0.6120,1.2970,1.7361,1.3800
5,2,0.5840,0.5600,0.6300,0.7740,1.1822,0.7597
5,3,0.5980,0.5900,0.6060,0.6764,0.9300,0.6935
5,4,0.5620,0.5580,0.5520,0.6739,0.8228,0.7149
5,5,0.5740,0.5000,0.6000,0.6473,0.7664,0.6848
6,1,0.5600,0.6240,0.6040,1.3098,1.3126,1.4063
6,2,0.6040,0.6220,0.5880,0.8644,0.7853,0.7562
6,3,0.5000,0.5240,0.4260,0.7541,0.7098,0.7297
6,4,0.4540,0.5220,0.4200,0.6544,0.6702,0.6919
6,5,0.5700,0.6160,0.6240,0.7314,0.6868,0.7491
7,1,0.6140,0.5860,0.5980,1.2327,1.4812,1.0121
7,2,0.5960,0.5920,0.6060,0.7101,0.8251,0.7222
7,3,0.5620,0.5620,0.5020,0.7367,0.7444,0.7321
7,4,0.6260,0.6240,0.6280,0.7062,0.7044,0.7111
7,5,0.6220,0.6160,0.6320,0.6860,0.7029,0.6696
8,1,0.6300,0.6300,0.6260,1.5193,1.6543,1.3876
8,2,0.5880,0.5640,0.6040,0.7212,0.7389,0.7137
8,3,0.6300,0.6160,0.6320,0.7374,0.7381,0.7445
8,4,0.6200,0.6280,0.5880,0.6981,0.6974,0.6778
8,5,0.6220,0.6280,0.5880,0.6679,0.6750,0.6572
9,1,0.5720,0.5360,0.4040,1.5102,1.2028,1.3915
9,2,0.5200,0.5340,0.5780,0.7412,0.7439,0.7898
9,3,0.4820,0.4820,0.4500,0.7087,0.7212,0.7246
9,4,0.5600,0.5660,0.6020,0.7217,0.7123,0.7521
9,5,0.5840,0.5840,0.6180,0.6794,0.6789,0.6913
