Seed,Epoch,Quantum_Acc,David_Acc,Goliath_Acc,Quantum_Loss,David_Loss,Goliath_Loss
0,1,0.3500,0.6720,0.2580,3.7197,6.2268,4.1347
0,2,0.3620,0.2200,0.2740,0.7401,1.4197,0.7399
0,3,0.3580,0.3120,0.3500,0.5894,0.6957,0.6443
0,4,0.3240,0.3280,0.3180,0.4604,0.5815,0.4799
0,5,0.3480,0.3420,0.3200,0.4224,0.5171,0.3719
1,1,0.2320,0.4600,0.2560,3.0861,6.4638,3.6355
1,2,0.2860,0.3300,0.2540,0.6846,1.8161,0.7845
1,3,0.3520,0.3180,0.2540,0.5785,0.7117,0.7622
1,4,0.3340,0.3500,0.2620,0.6273,0.6064,0.8315
1,5,0.3320,0.3560,0.2980,0.4522,0.5474,0.6353
2,1,0.3220,0.3040,0.2540,2.7504,5.4477,4.0798
2,2,0.3600,0.3220,0.3100,0.6841,0.7249,0.7083
2,3,0.3100,0.3660,0.3040,0.5293,0.5910,0.5377
2,4,0.3520,0.3360,0.2880,0.5036,0.4805,0.4504
2,5,0.3480,0.3600,0.3360,0.3921,0.3884,0.3842
3,1,0.3360,0.5940,0.2520,2.7624,6.3033,4.3540
3,2,0.2960,0.6060,0.3840,0.5514,4.9389,0.7026
3,3,0.3820,0.2780,0.3780,0.4483,3.3323,0.4833
3,4,0.3700,0.2520,0.3740,0.3949,1.4000,0.3984
3,5,0.3820,0.2700,0.3760,0.3246,0.7909,0.3421
4,1,0.2320,0.7600,0.2560,2.7655,6.4175,2.4450
4,2,0.3700,0.2680,0.2720,0.6800,1.5078,0.7735
4,3,0.3700,0.3180,0.2780,0.4828,0.7335,0.6306
4,4,0.3600,0.3340,0.2840,0.4103,0.5418,0.5618
4,5,0.3260,0.3600,0.2440,0.3323,0.4886,0.5232
5,1,0.2720,0.6680,0.2600,2.2902,6.8768,4.3274
5,2,0.3400,0.6560,0.2940,0.5999,5.5504,0.9470
5,3,0.2900,0.3360,0.2380,0.4240,3.7201,0.6758
5,4,0.3520,0.2820,0.3060,0.4339,0.9167,0.6934
5,5,0.3460,0.3520,0.2920,0.3690,0.7880,0.5797
6,1,0.3100,0.6120,0.2120,2.9584,6.2309,3.6367
6,2,0.3400,0.2720,0.2600,0.6137,2.4461,0.8333
6,3,0.3560,0.3160,0.2620,0.5091,0.8054,0.6766
6,4,0.3360,0.3440,0.2540,0.4272,0.6535,0.7146
6,5,0.3120,0.3560,0.2560,0.3613,0.6134,0.6552
7,1,0.2900,0.2580,0.2540,2.9579,5.3222,2.5712
7,2,0.3700,0.2740,0.2740,0.6369,1.0595,0.8144
7,3,0.3000,0.3520,0.2260,0.4786,0.7567,0.6834
7,4,0.3580,0.3460,0.3140,0.4080,0.6175,0.6381
7,5,0.3660,0.3140,0.3500,0.4279,0.5436,0.5439
8,1,0.3240,0.7060,0.3440,4.9555,6.5689,1.5978
8,2,0.3420,0.3080,0.3620,0.8385,2.6618,0.4844
8,3,0.3500,0.3300,0.3680,0.5709,0.7829,0.3747
8,4,0.3580,0.3760,0.3500,0.4775,0.6300,0.3207
8,5,0.3360,0.3580,0.3740,0.3956,0.5264,0.3642
9,1,0.5900,0.2500,0.2480,6.5153,4.2418,2.9082
9,2,0.3080,0.2660,0.3560,5.1622,0.8108,0.6775
9,3,0.3260,0.3600,0.3180,2.3060,0.5799,0.4129
9,4,0.3560,0.3200,0.3620,0.7405,0.5040,0.3719
9,5,0.2640,0.2720,0.3520,0.5905,0.4447,0.3139
