Source_Task,Target_Task,Quantum_ZeroShot_Acc,David_ZeroShot_Acc,Goliath_ZeroShot_Acc
SST-2,SST-2,0.0000,0.0000,0.0000
SST-2,RTE,0.0000,0.0000,0.0000
SST-2,BoolQ,0.0000,0.0000,0.0000
SST-2,AG_News,0.0000,0.0000,0.0000
RTE,SST-2,0.4700,0.5300,0.5300
RTE,RTE,0.4440,0.4946,0.5054
RTE,BoolQ,0.6100,0.5080,0.4640
RTE,AG_News,0.2520,0.2700,0.2440
BoolQ,SST-2,0.0000,0.0000,0.0000
BoolQ,RTE,0.0000,0.0000,0.0000
BoolQ,BoolQ,0.0000,0.0000,0.0000
BoolQ,AG_News,0.0000,0.0000,0.0000
AG_News,SST-2,0.5300,0.5300,0.5300
AG_News,RTE,0.4693,0.4765,0.4838
AG_News,BoolQ,0.4640,0.5940,0.4320
AG_News,AG_News,0.3480,0.3420,0.2560
